17:09:29:21:16:58.9::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Branded Zealot,C[185419 Ashmadai_Branded_Zealot_Basic],Electric Shot,Pn.Atk1ys1,Physical,,320.96,343.828
17:09:29:21:16:59.4::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Survivor's Gift,Pn.3tizq11,HitPoints,,-23.9631,-23.6763
17:09:29:21:16:59.7::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.6e618t1,Power,,-12.7718,0
17:09:29:21:16:59.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Branded Zealot,C[185419 Ashmadai_Branded_Zealot_Basic],Electric Shot,Pn.6e618t1,Physical,,307.831,329.764
17:09:29:21:17:00.6::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.2zr0it1,Power,,-18.2454,0
17:09:29:21:17:00.7::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Branded Zealot,C[185419 Ashmadai_Branded_Zealot_Basic],Electric Shot,Pn.2zr0it1,Physical,Kill,410.821,440.092
17:09:29:21:17:03.0::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Health Regen,Pn.M5jspv1,HitPoints,,-117.05,-115.649
17:09:29:21:17:05.9::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Health Regen,Pn.M5jspv1,HitPoints,,-117.05,-115.649
17:09:29:21:17:09.0::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Health Regen,Pn.M5jspv1,HitPoints,,-117.05,-115.649
17:09:29:21:17:11.9::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Health Regen,Pn.M5jspv1,HitPoints,,-117.05,-115.649
17:09:29:21:17:12.9::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Constricting Arrow,Pn.Tsj6qq1,Physical,Critical,1114.92,1306.3
17:09:29:21:17:13.0::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Constricting Arrow,Pn.Tsj6qq1,Power,,-37.6311,0
17:09:29:21:17:13.0::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Grasping Roots,Pn.Usgfs7,Physical,Critical,826.293,968.134
17:09:29:21:17:14.9::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Aimed Shot,Pn.Oafrdx1,Physical,,1510.2,1769.44
17:09:29:21:17:14.9::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Aimed Shot,Pn.Oafrdx1,Power,,-30.1049,0
17:09:29:21:17:15.4::Imp,C[185057 Ashmadai_Imp_Basic],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Melee Attack,Pn.Tit1py,Physical,Dodge,127.587,314.873
17:09:29:21:17:16.2::Imp,C[185058 Ashmadai_Imp_Basic],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Melee Attack,Pn.Tit1py,Physical,Dodge,131.817,325.311
17:09:29:21:17:16.7::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Survivor's Gift,Pn.3tizq11,HitPoints,,-23.9631,-23.6763
17:09:29:21:17:17.3::Imp,C[185059 Ashmadai_Imp_Basic],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Melee Attack,Pn.Tit1py,Physical,Flank,303.953,375.062
17:09:29:21:17:17.3::Imp,C[185056 Ashmadai_Imp_Basic],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Melee Attack,Pn.Tit1py,Physical,Dodge|Flank,143.199,353.402
17:09:29:21:17:17.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Split the Sky,Pn.538vs91,Power,,-82.1043,0
17:09:29:21:17:17.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Survivor's Gift,Pn.3tizq11,HitPoints,,-23.9631,-23.6763
17:09:29:21:17:17.8::Harkken,P[511693318@23789296 Harkken@sshookman],Split the Sky,C[185713 Entity_Splitthesky],Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Split the Sky,Pn.Brlco6,Physical,,444.561,520.875
17:09:29:21:17:17.8::Harkken,P[511693318@23789296 Harkken@sshookman],Split the Sky,C[185713 Entity_Splitthesky],Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Split the Sky,Pn.Brlco6,Physical,,417.933,489.676
17:09:29:21:17:17.8::Harkken,P[511693318@23789296 Harkken@sshookman],Split the Sky,C[185713 Entity_Splitthesky],Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Split the Sky,Pn.Brlco6,SpeedRunning,Immune,0,0
