17:09:28:22:50:29.3::Imp,C[165045 Ashmadai_Imp_Basic],,*,Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Melee Attack,Pn.Tit1py,Physical,Critical,68.5629,342.814
17:09:28:22:50:29.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165044 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,224.337,216.884
17:09:28:22:50:29.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165046 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,239.492,231.535
17:09:28:22:50:29.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165042 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,229.832,222.196
17:09:28:22:50:29.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165043 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,215.211,208.061
17:09:28:22:50:29.6::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],,*,,*,Give Power,Pn.Luwwgb1,Power,,-8.1995,0
17:09:28:22:50:29.9::Imp,C[165046 Ashmadai_Imp_Basic],,*,Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Melee Attack,Pn.Tit1py,Physical,,166.836,252.451
17:09:28:22:50:29.9::Imp,C[165044 Ashmadai_Imp_Basic],,*,Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Melee Attack,Pn.Tit1py,Physical,,163.494,247.395
17:09:28:22:50:29.9::Imp,C[165042 Ashmadai_Imp_Basic],,*,Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Melee Attack,Pn.Tit1py,Physical,Dodge,78.8377,238.59
17:09:28:22:50:30.3::Imp,C[165043 Ashmadai_Imp_Basic],,*,Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Melee Attack,Pn.Tit1py,Physical,,163.723,247.74
17:09:28:22:50:30.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165044 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,268.555,259.633
17:09:28:22:50:30.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165043 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,265.447,256.628
17:09:28:22:50:30.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165046 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,284.162,274.722
17:09:28:22:50:30.5::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165042 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,298.258,288.349
17:09:28:22:50:30.6::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],,*,,*,Give Power,Pn.Luwwgb1,Power,,-8.1995,0
17:09:28:22:50:30.6::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],BabeTwilight,C[164070 Pet_Minstrel],Imp,C[165042 Ashmadai_Imp_Basic],Tragic Tale,Pn.Succju,Physical,Kill,93.6604,99.4792
17:09:28:22:50:31.4::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165045 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,,262.901,254.167
17:09:28:22:50:31.4::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165043 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,Kill,297.334,287.456
17:09:28:22:50:31.4::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165044 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,Kill,262.553,253.83
17:09:28:22:50:31.4::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],Pillar of Power,C[166067 Entity_Pillarofpower_Zone],Imp,C[165046 Ashmadai_Imp_Basic],Pillar of Power,Pn.A2xccp1,Physical,Kill,293.762,284.002
17:09:28:22:50:31.6::Yvaine,P[511696067@23901703 Yvaine@jew#9398],,*,,*,Health Regen,Pn.M5jspv1,HitPoints,,-20.5414,-20.5184
17:09:28:22:50:31.6::Elakian Kelbalar,P[511711952@13560363 Elakian Kelbalar@lethalscorpion62],,*,,*,Give Power,Pn.Luwwgb1,Power,,-8.1995,0
17:09:28:22:50:34.5::Yvaine,P[511696067@23901703 Yvaine@jew#9398],,*,,*,Health Regen,Pn.M5jspv1,HitPoints,,-20.5414,-20.5184
17:09:28:22:50:35.0::Harkken,P[511693318@23789296 Harkken@sshookman],Split the Sky,C[166107 Entity_Splitthesky],Imp,C[165814 Ashmadai_Imp_Basic],Split the Sky,Pn.Brlco6,Physical,,453.279,488.719
17:09:28:22:50:35.0::Harkken,P[511693318@23789296 Harkken@sshookman],Split the Sky,C[166107 Entity_Splitthesky],Imp,C[165813 Ashmadai_Imp_Basic],Split the Sky,Pn.Brlco6,Physical,,396.013,426.975
17:09:28:22:50:35.0::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[165815 Ashmadai_Imp_Basic],Constricting Arrow,Pn.Tsj6qq1,Physical,Kill,692.335,746.466
17:09:28:22:50:35.2::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Constricting Arrow,Pn.Tsj6qq1,Power,,-36.0041,0
